solver,family,theory,cumulative_time
z3-4.8.1,Z3,Reals,7707.81440067291
z3-4.8.10,Z3,Reals,7166.63093113899
z3-4.8.11,Z3,Reals,11164.2289173603
z3-4.8.12,Z3,Reals,11034.6878800392
z3-4.8.13,Z3,Reals,11181.9632742405
z3-4.8.14,Z3,Reals,11184.9021010399
z3-4.8.15,Z3,Reals,11302.2988300323
z3-4.8.16,Z3,Reals,11397.4722924232
z3-4.8.17,Z3,Reals,11441.449157238
z3-4.8.3,Z3,Reals,7744.73527860641
z3-4.8.4,Z3,Reals,7746.6430337429
z3-4.8.5,Z3,Reals,7721.39587044716
z3-4.8.6,Z3,Reals,8152.00170040131
z3-4.8.7,Z3,Reals,8144.711196661
z3-4.8.8,Z3,Reals,7582.59357881546
z3-4.8.9,Z3,Reals,7116.28498721123
z3-4.9.0,Z3,Reals,11518.7508006096
z3-4.9.1,Z3,Reals,11525.425848484
cvc4-1.5,CVC4/5,Strings,877.082715034485
cvc4-1.6,CVC4/5,Strings,849.513615608215
cvc4-1.7,CVC4/5,Strings,875.419899463654
cvc4-1.8,CVC4/5,Strings,907.834110736847
cvc5-0.0.10,CVC4/5,Strings,1007.45023798943
cvc5-0.0.11,CVC4/5,Strings,1005.47506260872
cvc5-0.0.12,CVC4/5,Strings,1001.33884096146
cvc5-0.0.2,CVC4/5,Strings,900.566154241562
cvc5-0.0.3,CVC4/5,Strings,897.245875358582
cvc5-0.0.4,CVC4/5,Strings,895.65040397644
cvc5-0.0.5,CVC4/5,Strings,906.924857139587
cvc5-0.0.6,CVC4/5,Strings,906.275595664978
cvc5-0.0.7,CVC4/5,Strings,905.553363323212
cvc5-0.0.8,CVC4/5,Strings,1011.88014531136
cvc5-1.0.0,CVC4/5,Strings,1004.06330966949
cvc5-1.0.1,CVC4/5,Strings,992.063489198685
cvc5-1.0.2,CVC4/5,Strings,992.212199687958
cvc5-1.0.3,CVC4/5,Strings,994.2308177948
cvc5-1.0.4,CVC4/5,Strings,1005.01328825951
cvc5-1.0.5,CVC4/5,Strings,1001.79555463791
cvc5-1.0.6,CVC4/5,Strings,930.159712553024
cvc5-1.0.7,CVC4/5,Strings,934.914125919342
cvc5-1.0.8,CVC4/5,Strings,940.545991897583
cvc5-1.0.9,CVC4/5,Strings,926.379076957703
cvc5-1.1.0,CVC4/5,Strings,925.1703145504
cvc5-1.1.1,CVC4/5,Strings,928.234253644943
cvc5-1.1.2,CVC4/5,Strings,951.300446987152
z3-4.10.0,Z3,Strings,2799.68068170547
z3-4.10.1,Z3,Strings,2794.55804395676
z3-4.10.2,Z3,Strings,2804.46596360207
z3-4.11.0,Z3,Strings,2835.52181434631
z3-4.11.2,Z3,Strings,2830.79409003258
z3-4.12.0,Z3,Strings,2998.08743357658
z3-4.12.1,Z3,Strings,2974.12450671196
z3-4.12.2,Z3,Strings,3167.90036535263
z3-4.12.3,Z3,Strings,3067.99311614037
z3-4.12.4,Z3,Strings,3070.69216275215
z3-4.12.5,Z3,Strings,3087.51255345345
z3-4.12.6,Z3,Strings,3062.25799655914
z3-4.13.0,Z3,Strings,3069.65968322754
z3-4.5.0,Z3,Strings,2946.40552330017
z3-4.6.0,Z3,Strings,1657.15133047104
z3-4.7.1,Z3,Strings,1919.2655274868
z3-4.8.1,Z3,Strings,1926.9336309433
z3-4.8.10,Z3,Strings,1791.086830616
z3-4.8.11,Z3,Strings,2843.66917347908
z3-4.8.12,Z3,Strings,2813.01286768913
z3-4.8.13,Z3,Strings,2742.96251106262
z3-4.8.14,Z3,Strings,2741.74002313614
z3-4.8.15,Z3,Strings,2769.81441569328
z3-4.8.16,Z3,Strings,2790.87805366516
z3-4.8.17,Z3,Strings,2802.32595586777
z3-4.8.3,Z3,Strings,1948.44514083862
z3-4.8.4,Z3,Strings,1898.52297544479
z3-4.8.5,Z3,Strings,1881.16503930092
z3-4.8.6,Z3,Strings,2124.57737183571
z3-4.8.7,Z3,Strings,2117.02739071846
z3-4.8.8,Z3,Strings,2839.28305125237
z3-4.8.9,Z3,Strings,1797.57281637192
z3-4.9.0,Z3,Strings,2820.11113572121
z3-4.9.1,Z3,Strings,2821.43435359001
